x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-14.43800E-03,+11.27500000E+00,-662.50000E-03,-312.50000E-03,-948.75002E-03
-14.38800E-03,+1.46250000E+00,-262.50000E-03,-312.50000E-03,-885.00002E-03
-14.33800E-03,+11.52500000E+00,-500.00000E-03,-387.50000E-03,-156.25002E-03
-14.28800E-03,+15.56250000E+00,-425.00000E-03,-550.00000E-03,-803.75002E-03
-14.23800E-03,+13.83750000E+00,-337.50000E-03,-387.50000E-03,-1.04250002E+00
-14.18800E-03,+10.02500000E+00,-737.50000E-03,-625.00000E-03,-121.25002E-03
-14.13800E-03,+15.32500000E+00,-500.00000E-03,-625.00000E-03,-467.50002E-03
-14.08800E-03,+11.51250000E+00,-425.00000E-03,-625.00000E-03,-1.00000002E+00
-14.03800E-03,+1.46250000E+00,-187.50000E-03,-550.00000E-03,-686.25002E-03
-13.98800E-03,+11.45000000E+00,-337.50000E-03,-312.50000E-03,-241.25002E-03
-13.93800E-03,+15.32500000E+00,-737.50000E-03,-387.50000E-03,-960.00002E-03
-13.88800E-03,+13.91250000E+00,-500.00000E-03,-475.00000E-03,-1.15375002E+00
-13.83800E-03,+10.33750000E+00,-500.00000E-03,-150.00000E-03,-142.50002E-03
-13.78800E-03,+15.56250000E+00,-500.00000E-03,-550.00000E-03,-685.00002E-03
-13.73800E-03,+11.51250000E+00,-575.00000E-03,-387.50000E-03,-1.17750002E+00
-13.68800E-03,+2.66250000E+00,-662.50000E-03,-550.00000E-03,-496.25002E-03
-13.63800E-03,+15.25000000E+00,-187.50000E-03,-387.50000E-03,-308.75002E-03
-13.58800E-03,+11.35000000E+00,-262.50000E-03,-550.00000E-03,-1.21875002E+00
-13.53800E-03,+1.32500000E+00,-500.00000E-03,-387.50000E-03,-1.29625002E+00
-13.48800E-03,+10.33750000E+00,-500.00000E-03,-625.00000E-03,-240.00002E-03
-13.43800E-03,+15.48750000E+00,-500.00000E-03,-625.00000E-03,-1.10625002E+00
-13.38800E-03,+11.35000000E+00,-500.00000E-03,-550.00000E-03,-1.51875002E+00
-13.33800E-03,+2.97500000E+00,-500.00000E-03,-387.50000E-03,-508.75002E-03
-13.28800E-03,+15.48750000E+00,-425.00000E-03,-625.00000E-03,-618.75002E-03
-13.23800E-03,+11.35000000E+00,-262.50000E-03,-625.00000E-03,-1.61375002E+00
-13.18800E-03,+1.32500000E+00,-425.00000E-03,-550.00000E-03,-1.35125002E+00
-13.13800E-03,+10.26250000E+00,-337.50000E-03,-387.50000E-03,-338.75002E-03
-13.08800E-03,+15.25000000E+00,-662.50000E-03,-550.00000E-03,-1.47125002E+00
-13.03800E-03,+11.35000000E+00,-187.50000E-03,-312.50000E-03,-1.93750002E+00
-12.98800E-03,+2.90000000E+00,-187.50000E-03,-312.50000E-03,-481.25002E-03
-12.93800E-03,+15.25000000E+00,-187.50000E-03,-462.50000E-03,-238.75002E-03
-12.88800E-03,+11.35000000E+00,-262.50000E-03,-862.50000E-03,-870.00002E-03
-12.83800E-03,+2.97500000E+00,-500.00000E-03,-550.00000E-03,-410.00002E-03
-12.78800E-03,+15.56250000E+00,-500.00000E-03,-387.50000E-03,-246.25002E-03
-12.73800E-03,+11.58750000E+00,-500.00000E-03,-550.00000E-03,-1.19375002E+00
-12.68800E-03,+1.40000000E+00,-500.00000E-03,-237.50000E-03,-1.37500002E+00
-12.63800E-03,+10.57500000E+00,-425.00000E-03,-75.00000E-03,-218.75002E-03
-12.58800E-03,+15.56250000E+00,-337.50000E-03,-312.50000E-03,-881.25002E-03
-12.53800E-03,+11.58750000E+00,-812.50000E-03,-312.50000E-03,-1.22750002E+00
-12.48800E-03,+2.97500000E+00,-737.50000E-03,-312.50000E-03,-398.75002E-03
-12.43800E-03,+15.56250000E+00,-500.00000E-03,-312.50000E-03,-436.25002E-03
-12.38800E-03,+11.58750000E+00,-500.00000E-03,-387.50000E-03,-1.06625002E+00
-12.33800E-03,+1.17500000E+00,-500.00000E-03,-625.00000E-03,-971.25002E-03
-12.28800E-03,+9.86250000E+00,-425.00000E-03,-550.00000E-03,-203.75002E-03
-12.23800E-03,+15.56250000E+00,-262.50000E-03,-312.50000E-03,-811.25002E-03
-12.18800E-03,+13.68750000E+00,-500.00000E-03,-387.50000E-03,-1.07375002E+00
-12.13800E-03,+9.55000000E+00,-500.00000E-03,-550.00000E-03,-152.50002E-03
-12.08800E-03,+15.40000000E+00,-500.00000E-03,-387.50000E-03,-506.25002E-03
-12.03800E-03,+11.90000000E+00,-500.00000E-03,-625.00000E-03,-1.02500002E+00
-11.98800E-03,+1.93750000E+00,-500.00000E-03,-550.00000E-03,-592.50002E-03
-11.93800E-03,+11.52500000E+00,-575.00000E-03,-387.50000E-03,-147.50002E-03
